time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T02:38:44.305Z,37.8697,38.3908,10,4.2,mb,32,169,1.645,0.71,us,us6000jnrd,2023-04-15T21:39:59.040Z,"15 km NE of Ad?yaman, Turkey",earthquake,5.44,1.914,0.159,11,reviewed,us,us
2023-02-06T02:43:47.299Z,36.8497,36.3895,10,4.2,mb,27,217,0.73,0.74,us,us6000jnvz,2023-04-15T21:40:05.040Z,"12 km WNW of Hassa, Turkey",earthquake,3.68,1.328,0.159,11,reviewed,us,us
2023-02-06T02:52:14.949Z,38.5461,40.4563,12.85,4.2,mb,27,99,1.236,0.72,us,us6000jnre,2023-04-15T21:39:59.040Z,"eastern Turkey",earthquake,4.28,4.984,0.167,10,reviewed,us,us
2023-02-06T02:54:00.446Z,36.7084,36.3519,10,4.7,mb,129,55,0.828,0.59,us,us6000jlmv,2023-04-15T21:39:34.040Z,"14 km ENE of Denizciler, Turkey",earthquake,4.91,1.839,0.056,96,reviewed,us,us
2023-02-06T02:56:51.520Z,38.8297,38.8005,14.19,4.4,mb,31,112,1.771,0.56,us,us6000jnsn,2023-04-15T21:40:01.040Z,"6 km NE of Keban, Turkey",earthquake,5.99,4.488,0.143,14,reviewed,us,us
2023-02-06T03:01:14.387Z,38.1475,38.435,14.043,4.1,mb,33,68,0.769,0.75,us,us6000jnrf,2023-04-15T21:39:59.040Z,"19 km NW of Sincik, Turkey",earthquake,3.21,4.266,0.139,14,reviewed,us,us
2023-02-06T03:02:18.228Z,37.9204,37.7822,10,4.4,mb,52,91,0.875,0.62,us,us6000jnrg,2023-04-15T21:39:59.040Z,"18 km NW of Tut, Turkey",earthquake,3.38,1.875,0.095,32,reviewed,us,us
2023-02-06T03:04:45.269Z,38.1742,38.482,16.696,4.7,mb,123,33,0.78,0.64,us,us6000jln0,2023-04-15T21:39:34.040Z,"19 km NW of Sincik, Turkey",earthquake,5.4,4.053,0.06,84,reviewed,us,us
2023-02-06T03:10:20.089Z,37.7127,37.8001,16.08,4.4,mb,79,70,0.716,0.37,us,us6000jln6,2023-04-15T21:39:34.040Z,"5 km WNW of Besni, Turkey",earthquake,5.78,4.132,0.074,53,reviewed,us,us
2023-02-06T03:12:11.339Z,37.5003,37.3267,3.572,4.5,mb,79,76,0.341,0.68,us,us6000jln3,2023-04-15T21:39:34.040Z,"2 km ENE of Pazarc?k, Turkey",earthquake,5.28,4.287,0.074,53,reviewed,us,us
2023-02-06T03:16:16.646Z,38.0715,38.4951,17.34,4.3,mb,46,71,0.681,0.87,us,us6000jnsr,2024-01-18T19:19:07.563Z,"11 km WNW of Sincik, Turkey",earthquake,4.45,1.549,0.113,22,reviewed,us,us
2023-02-06T03:19:15.155Z,37.733,37.4257,10,4,mb,17,95,1.042,0.57,us,us6000jnrj,2023-04-15T21:40:00.040Z,"12 km E of Ça?layancerit, Turkey",earthquake,3.43,1.973,0.212,6,reviewed,us,us
2023-02-06T03:22:44.992Z,38.1446,38.558,12.514,4.3,mb,48,64,0.733,0.62,us,us6000jnrl,2023-04-15T21:40:00.040Z,"12 km NNW of Sincik, Turkey",earthquake,5.09,2.1,0.103,27,reviewed,us,us
2023-02-06T03:24:30.161Z,37.9268,37.8357,5.884,4.4,mb,39,92,0.903,0.71,us,us6000jnrh,2023-04-15T21:39:59.040Z,"16 km NNW of Tut, Turkey",earthquake,2.73,5.039,0.124,19,reviewed,us,us
2023-02-06T03:28:45.962Z,38.0773,38.5775,16.819,4.4,mb,75,36,0.664,0.8,us,us6000jln5,2023-04-15T21:39:34.040Z,"5 km NW of Sincik, Turkey",earthquake,3.88,4.236,0.082,43,reviewed,us,us
2023-02-06T03:30:00.256Z,37.0297,36.7506,10,4.2,mb,33,171,0.394,0.84,us,us6000jnri,2023-04-15T21:39:59.040Z,"15 km S of Nurda??, Turkey",earthquake,4.28,1.932,0.118,20,reviewed,us,us
2023-02-06T03:35:39.215Z,38.2368,38.5132,9.221,4.2,mb,26,61,0.831,0.77,us,us6000jns6,2023-04-15T21:40:01.040Z,"21 km SE of Malatya, Turkey",earthquake,3.04,5.921,0.186,8,reviewed,us,us
2023-02-06T03:41:28.306Z,37.2442,37.1335,15.704,4.3,mb,36,134,0.094,0.73,us,us6000jnsv,2023-04-15T21:40:01.040Z,"30 km NW of Gaziantep, Turkey",earthquake,5.35,6.288,0.129,17,reviewed,us,us
2023-02-06T03:45:48.353Z,38.1656,38.65,16.431,4.8,mb,126,42,0.736,0.53,us,us6000jln9,2023-04-15T21:39:34.040Z,"14 km NNE of Sincik, Turkey",earthquake,3.91,3.729,0.056,99,reviewed,us,us
2023-02-06T03:54:00.586Z,37.7604,37.4251,14.46,4.3,mb,32,90,0.612,0.71,us,us6000jnrm,2023-04-15T21:40:00.040Z,"Central Turkey",earthquake,2.96,4.766,0.153,12,reviewed,us,us
2023-02-06T03:55:10.580Z,37.3982,36.8946,10,4.2,mb,14,160,0.338,0.7,us,us6000jnrr,2023-04-15T21:40:00.040Z,"20 km S of Kahramanmara?, Turkey",earthquake,2.7,1.995,0.199,7,reviewed,us,us
2023-02-06T03:58:19.868Z,36.6427,36.426,10,4.3,mb,36,102,0.821,0.76,us,us6000jnrn,2023-04-15T21:40:00.040Z,"17 km NNE of K?r?khan, Turkey",earthquake,3.54,1.932,0.201,7,reviewed,us,us
2023-02-06T04:04:22.647Z,37.8315,37.3919,5.017,4.4,mb,65,83,0.674,0.52,us,us6000jlnc,2023-04-15T21:39:34.040Z,"13 km NE of Ça?layancerit, Turkey",earthquake,4.66,4.563,0.088,37,reviewed,us,us
2023-02-06T04:05:15.992Z,37.7658,37.4588,10,4.1,mb,22,119,0.625,1.15,us,us6000jnvn,2023-04-15T21:40:05.040Z,"15 km E of Ça?layancerit, Turkey",earthquake,2.67,1.854,0.157,11,reviewed,us,us
2023-02-06T04:05:56.670Z,37.0844,36.9133,12.1,4.2,mb,21,121,0.252,0.53,us,us6000jnrp,2023-04-15T21:40:00.040Z,"18 km ESE of Nurda??, Turkey",earthquake,3.53,5.309,0.186,8,reviewed,us,us
2023-02-06T04:14:17.612Z,38.1847,38.6102,9.958,4.4,mb,55,105,0.761,0.74,us,us6000jlne,2023-04-15T21:39:34.040Z,"16 km N of Sincik, Turkey",earthquake,5.43,5.272,0.093,33,reviewed,us,us
2023-02-06T04:16:49.374Z,37.5236,37.2784,11.788,4.5,mb,88,66,0.355,0.43,us,us6000jlnd,2023-04-15T21:39:34.040Z,"Central Turkey",earthquake,2.71,4.618,0.072,57,reviewed,us,us
2023-02-06T04:18:46.986Z,38.1845,38.5342,16.416,5,mb,145,36,0.776,0.58,us,us6000jlnf,2023-04-15T21:39:34.040Z,"17 km NNW of Sincik, Turkey",earthquake,5.5,3.967,0.053,112,reviewed,us,us
2023-02-06T04:24:45.154Z,37.555,37.2001,13.385,4.1,mb,25,93,0.382,0.56,us,us6000jnvd,2023-04-15T21:40:04.040Z,"11 km NW of Pazarc?k, Turkey",earthquake,3.11,5.604,0.214,6,reviewed,us,us
2023-02-06T04:31:02.298Z,37.2919,36.8854,12.932,4.3,mb,32,159,0.285,0.72,us,us6000jnrs,2023-04-15T21:40:00.040Z,"19 km NE of Nurda??, Turkey",earthquake,4.59,6.261,0.142,14,reviewed,us,us
